#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
99 0.03994 0.005303 0.0857 0.005202 0.1039 0.003857 0.1002 0.003362 0.1039 0.004584 0.1173 0.004129 0.1358 0.004604 0.5926 0.03711 0.8421 0.1616 1.02 0.1502 3.4200000762939453 0.0 2233.0
100 0.006303 0.006214 0.01026 0.003985 0.0242 0.003337 0.03224 0.002895 0.03379 0.003277 0.04496 0.004635 0.05464 0.004237 0.09206749 0.1074196 0.1693268 0.07380258 0.2429382 0.06916049 3.4333 6.0 680.0
101 0.01399 0.003968 0.0246 0.004036 0.03361 0.002993 0.03316 0.002804 0.03305 0.003956 0.03062 0.003344 0.03076 0.003433 0.1248 0.03453 0.1415 0.1312 0.1526 0.1336 3.444999933242798 0.0 102.0
102 0.001569 0.004143 0.007146 0.003875 0.007459 0.002861 0.008397 0.002376 0.007819 0.003228 0.005524 0.002866 0.008472 0.002466 0.02514 0.02353 -0.007199 0.1506 -0.0519 0.1361 3.447999954223633 0.0 22052.0
103 0.002686 0.003692 0.003861 0.003394 0.01052 0.002513 0.008481 0.00229 0.01407 0.00303 0.01243 0.002754 0.01317 0.002386 0.05635 0.03003 -0.05584 0.157 0.03974 0.1271 3.5450000762939453 0.0 21788.0
104 -0.001461 0.002638 0.001617 0.002515 0.00381 0.001831 0.003816 0.001222 0.003553 0.001694 0.008476 0.001643 0.007372 0.001586 0.03880548 0.08771305 0.1263477 0.1028205 0.1037936 0.1085798 3.548999 4.0 21664.0
105 0.005275 0.003232 0.02905 0.00325 0.02872 0.00227 0.02584 0.002021 0.02303 0.002557 0.02132 0.002309 0.02313 0.004035 0.06995 0.0215 0.1597 0.09611 0.1473 0.1793 3.558199 3.0 2329.0
106 0.002296 0.006159 0.02047 0.005977 0.02153 0.004202 0.02825 0.003699 0.03034 0.004617 0.02501 0.004243 0.02966 0.004522 0.09176 0.02241 0.2451 0.2541 0.1524 0.3469 3.5765 3.0 1388.0
107 0.003097 0.00484 0.02271 0.004958 0.02748 0.003498 0.01966 0.003085 0.01733 0.00389 0.02183 0.00356 0.01706 0.004014 0.0606 0.02161 0.0331 0.07904 0.08633 0.1062 3.58205 3.0 494.0
108 0.001702 0.003887 0.01883 0.003906 0.02647 0.0029 0.02762 0.00258 0.03016 0.003469 0.03417 0.003104 0.03105 0.00305 0.06004 0.02686 0.01409 0.2025 -0.08683 0.195 3.591399908065796 0.0 2588.0
