#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST
81 0.01728 0.005984 0.02242 0.005691 0.02216 0.004233 0.02442 0.003804 0.02435 0.004722 0.02836 0.004409 0.04405 0.006117 0.0249 0.02885 -0.05791 0.07625 -0.02716 0.1014 2.674999
82 0.009573 0.00417 0.01782 0.003777 0.01394 0.002634 0.01982 0.002504 0.0179 0.002861 0.02804 0.002891 0.03645 0.003245 0.02741 0.02272 0.09816 0.3236 -0.1789 0.3949 2.7011
83 0.006078 0.006663 0.01342 0.004394 0.01532 0.003805 0.01262 0.002539 0.01294 0.003235 0.01892 0.003233 0.02393 0.003457 0.06250893 0.1209745 -0.1462239 0.08418182 -0.1594743 0.07072023 2.705
84 0.01402 0.01002 0.04712 0.006897 0.04048 0.005805 0.02384 0.002919 0.03361 0.003866 0.04114 0.003849 0.05335 0.00581 0.07116085 0.1252928 -0.1020527 0.1167108 -0.05461892 0.09929966 2.748
85 0.007045 0.0054 0.02122 0.004725 0.0182 0.003408 0.01783 0.002384 0.01414 0.003013 0.02928 0.003204 0.02817 0.004767 0.03180538 0.08693932 -0.2055244 0.08324035 0.3414207 0.1047885 2.773
86 0.007902 0.006378 0.01389 0.004814 0.009192 0.00418 0.008727 0.002334 0.009007 0.002952 0.01184 0.002976 0.01371 0.002957 -0.06614473 0.09166214 0.01404193 0.1502745 0.005779057 0.128263 2.7823
87 0.007425 0.003953 0.01076 0.002941 0.01139 0.002554 0.009652 0.001821 0.008444 0.002367 0.01148 0.002289 0.01345 0.003531 0.08422261 0.1143458 -0.08854148 0.08101222 -0.008064766 0.0662455 2.797
88 0.03516 0.006101 0.05585 0.004104 0.05565 0.002755 0.04238 0.00166 0.03648 0.001858 0.04952 0.002663 0.0531 0.001647 -0.2363607 0.1040994 -0.00684895 0.1957546 0.09082976 0.1602503 2.8
89 0.003931 0.00525 0.008357 0.00334 0.01001 0.00277 0.01033 0.002345 0.004785 0.002703 0.01139 0.003761 0.01092 0.003417 -0.01656455 0.08931014 0.07510749 0.07250415 -0.0007702975 0.07080352 2.82
90 0.007107 0.004773 0.009095 0.004419 0.01222 0.003194 0.01141 0.002183 0.009433 0.003801 0.01283 0.002919 0.01909 0.003866 -0.2498601 0.1074247 -0.06070645 0.1035149 -1.039806 0.1076162 2.865
91 0.0116 0.00262 0.02654 0.00226 0.02166 0.001507 0.0181 0.001171 0.01706 0.001607 0.02029 0.00147 0.02235 0.001044 0.02187 0.024 0.182 0.4131 -0.06906 0.3808 3.0722999572753906
92 0.008473 0.004029 0.01981 0.003521 0.01479 0.002493 0.01238 0.002167 0.01528 0.002687 0.01591 0.002497 0.02322 0.002987 0.05488 0.0206 0.3021 0.1106 0.3456 0.144 3.088999
93 0.0003653 0.004051 0.003305 0.003883 0.005717 0.002868 0.006365 0.001939 0.006493 0.002709 0.00761 0.002575 0.01348 0.002519 0.0228931 0.08832479 0.125083 0.1105632 0.120205 0.1114195 3.14
94 0.06046 0.04731 0.1484 0.04169 0.2567 0.03046 0.3622 0.02055 1.257 0.03444 1.435 0.02758 2.344 0.05163 2.93435 0.8453234 1.513106 0.4786448 3.121649 0.398809 3.14295
95 0.132 0.01163 0.3879 0.01089 0.6434 0.0099 0.7012 0.008663 0.7516 0.01269 0.864 0.01261 1.065 0.02108 1.655 0.06203 1.589 0.2121 1.586 0.1578 3.1752
96 -0.0005903 0.002308 0.001946 0.002098 0.004047 0.001857 0.01168 0.001885 0.006639 0.002574 0.01157 0.002728 0.01496 0.003139 -0.03708 0.03145 0.117 0.1836 0.08131 0.1412 3.19
97 0.001513 0.003667 0.005735 0.002868 0.0067 0.002464 0.00804 0.0026 0.004247 0.003673 0.008298 0.003282 0.009413 0.003125 0.06576969 0.09804139 0.0 -99.0 -0.01665353 0.06998899 3.1955
98 -0.0003001 0.003537 0.005231 0.003626 0.006524 0.002705 0.008361 0.00242 0.00916 0.003285 0.009202 0.002944 0.01591 0.004996 0.04936 0.02831 -0.07852 0.1393 -0.191 0.1321 3.2904999256134033
99 0.05001 0.005161 0.1074 0.005338 0.1336 0.003676 0.1247 0.003321 0.1345 0.004179 0.135 0.003828 0.163 0.004611 0.4402 0.0262 0.1404 0.08798 0.2738 0.1116 3.321899
100 0.01585 0.00677 0.04543 0.005187 0.05124 0.004072 0.0428 0.003555 0.05077 0.00442 0.04572 0.004301 0.05602 0.006962 0.1900038 0.07754707 0.118681 0.1681408 0.003706608 0.1409751 3.336899
