Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
3.04683,0.00403567,0,0,0,-2
3.04762,0.00502219,0,0,0,-2
3.04768,0.00505972,0,0,0,-2
3.04848,0.00524616,0,0,0,-2
3.04927,0.00444746,0,0,0,-2
3.04933,0.0044095,0,0,0,-2
3.05012,0.00476065,0,0,0,-2
3.05018,0.00479113,0,0,0,-2
3.05098,0.00520607,0,0,0,-2
3.05177,0.00396431,0,0,0,-2
3.05183,0.00385863,0,0,0,-2
3.05263,0.00299275,0,0,0,-2
3.05269,0.00296666,0,0,0,-2
3.05348,0.00310199,0,0,0,-2
3.05434,0.00189632,0,0,0,-2
3.05513,0.00356924,0,0,0,-2
3.05519,0.00367851,0,0,0,-2
3.05598,0.00485546,0,0,0,-2
3.05605,0.00488371,0,0,0,-2
3.05684,0.00479588,0,0,0,-2
3.05764,0.00403995,0,0,0,-2
3.0577,0.00397551,0,0,0,-2
3.05849,0.00324579,0,0,0,-2
3.05855,0.00327335,0,0,0,-2
3.05929,0.00420142,0,0,0,-2
3.05935,0.00427134,0,0,0,-2
3.06014,0.00417521,0,0,0,-2
3.0602,0.00415996,0,0,0,-2
3.061,0.0041211,0,0,0,-2
3.06106,0.00411907,0,0,0,-2
3.0618,0.00410181,0,0,0,-2
3.06186,0.00408872,0,0,0,-2
3.06265,0.00341733,0,0,0,-2
3.06272,0.00340315,0,0,0,-2
3.06351,0.0039369,0,0,0,-2
3.06431,0.00489344,0,0,0,-2
3.06437,0.00493431,0,0,0,-2
3.06517,0.00396071,0,0,0,-2
3.06523,0.00389534,0,0,0,-2
3.06602,0.00318241,0,0,0,-2
3.06682,0.00344689,0,0,0,-2
3.06688,0.00346124,0,0,0,-2
3.06768,0.00299333,0,0,0,-2
3.06774,0.00301959,0,0,0,-2
3.06854,0.0038737,0,0,0,-2
3.06934,0.00496564,0,0,0,-2
3.0694,0.00500674,0,0,0,-2
3.0702,0.00452536,0,0,0,-2
3.071,0.00417531,0,0,0,-2
3.07106,0.00417474,0,0,0,-2
3.07186,0.00527507,0,0,0,-2
3.07192,0.00532117,0,0,0,-2
3.07272,0.00553636,0,0,0,-2
3.07351,0.00471373,0,0,0,-2
3.07358,0.00468538,0,0,0,-2
3.07438,0.00565563,0,0,0,-2
3.07444,0.0056361,0,0,0,-2
3.07524,0.00474035,0,0,0,-2
3.07604,0.00459804,0,0,0,-2
3.0761,0.00458096,0,0,0,-2
3.0769,0.00429669,0,0,0,-2
